No,Outcome
1,0
2,0
3,0
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,1
150,0
151,0
152,0
153,1
154,0
