지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg),최대 순간풍속 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),최대 순간 풍속 풍향(hhmi)
725,2018-11-03,16.6,14.7,439.0,18.5,1231.0,0.0,4.8,2.6,3.6,1158.0,,,
725,2018-05-29,19.3,17.9,739.0,22.6,1505.0,13.5,4.9,1.9,97.1,341.0,,,
725,2019-12-10,13.4,8.6,48.0,17.4,1142.0,0.0,5.1,1.8,191.1,334.0,,,
725,2010-06-04,18.3,15.6,509.0,21.8,1044.0,0.0,6.0,2.7,,1739.0,0.0,,176.6
725,2017-04-01,10.5,9.1,649.0,12.7,1429.0,0.0,8.6,5.3,312.7,,,,
725,2015-02-16,11.8,9.1,2352.0,14.3,931.0,11.5,12.0,5.5,336.4,2044.0,4.5,100.0,
725,2014-07-04,22.4,21.0,309.0,24.7,1211.0,0.0,8.6,2.7,,12.0,0.0,,323.5
725,2011-02-05,7.3,5.9,2354.0,8.9,1401.0,0.0,12.1,5.1,,551.0,0.0,,326.0
725,2012-11-13,12.6,9.0,1636.0,15.4,1454.0,0.5,22.3,6.8,,1610.0,0.5,1800.0,302.9
725,2010-09-23,20.4,19.1,728.0,21.7,1506.0,0.0,14.7,6.2,,808.0,0.0,,357.6
725,2020-07-03,20.6,20.0,2046.0,21.5,54.0,21.0,14.2,6.0,68.1,1515.0,,,
725,2020-05-30,18.6,16.6,542.0,20.3,1308.0,1.0,6.1,2.4,116.1,1956.0,,,
725,2014-08-01,25.6,24.6,621.0,27.8,1134.0,7.5,17.0,7.3,,1403.0,2.0,500.0,83.7
725,2011-08-27,23.2,21.6,348.0,25.0,1304.0,0.0,7.0,2.9,,1446.0,0.0,,65.7
725,2021-09-12,25.4,23.5,25.0,26.7,1443.0,0.0,7.7,4.1,25.5,1049.0,,,
725,2020-07-13,,,,,,2.5,,,,,,,
725,2018-01-23,1.7,-0.4,0.0,8.1,6.0,0.0,9.4,5.4,63.6,720.0,,,
725,2019-09-15,24.6,22.6,505.0,27.1,1425.0,0.0,5.1,2.6,297.9,127.0,,,
725,2012-05-09,17.1,14.4,2234.0,21.3,1438.0,0.0,9.0,4.2,,1021.0,0.0,,330.4
725,2016-10-19,20.8,18.7,2214.0,23.0,1348.0,0.0,4.0,1.9,64.0,,,,
725,2012-11-09,15.3,12.5,223.0,17.3,1401.0,0.5,11.7,3.7,,2236.0,0.5,100.0,97.9
725,2011-10-13,20.5,17.9,555.0,23.3,1609.0,0.0,7.3,2.5,,320.0,0.0,,356.7
725,2016-08-09,28.4,25.2,143.0,31.1,1457.0,0.5,4.9,2.3,79.3,,,,
725,2013-01-12,8.4,5.4,18.0,11.9,1304.0,0.0,9.8,3.7,,1450.0,0.0,,337.3
725,2019-02-08,4.4,2.4,809.0,6.2,1314.0,0.0,9.1,4.0,306.7,156.0,,,
725,2013-02-07,0.4,-3.6,2224.0,5.1,638.0,0.0,17.4,9.4,,1020.0,0.0,,334.3
725,2018-07-29,28.3,26.1,637.0,31.0,1535.0,0.0,6.0,2.8,306.4,2240.0,,,
725,2020-10-14,19.3,17.7,419.0,21.9,1357.0,0.0,11.0,6.2,3.8,633.0,,,
725,2015-10-07,21.2,18.5,428.0,24.4,1205.0,0.0,8.8,3.1,74.4,2235.0,0.0,,
725,2018-03-21,5.4,4.8,703.0,7.5,31.0,7.5,10.4,5.0,47.5,54.0,,,
725,2012-04-23,16.4,11.5,427.0,20.6,1139.0,0.0,8.1,2.5,,1546.0,0.0,,187.1
