,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,index,pH,residual sugar,sulphates,total sulfur dioxide,type,volatile acidity,quality
0,11.5,0.075,0.29,0.9965,8.3,12.0,2817,3.45,4.2,0.68,16.0,red,0.76,6
1,10.6,0.057,0.24,0.99519,6.7,64.0,2862,3.12,10.3,0.5,185.0,white,0.18,6
2,12.3,0.031,0.33,0.98987,6.8,22.0,2359,3.08,1.3,0.62,87.0,white,0.19,7
3,12.5,0.0819999999999999,0.34,0.99356,7.6,26.0,1086,3.22,2.5,0.59,35.0,red,0.31,7
4,11.3,0.04,0.32,0.99182,6.3,37.0,973,3.24,4.2,0.43,117.0,white,0.17,6
5,9.8,0.036,0.17,0.99373,6.0,37.0,256,3.05,5.6,0.57,127.0,white,0.14,6
6,10.5,0.042,0.32,0.99456,6.9,30.0,5347,3.4,7.9,0.39,130.0,white,0.19,6
7,9.2,0.075,0.37,0.998,9.4,5.0,4709,3.22,2.2,0.62,13.0,red,0.34,5
8,10.1,0.045,0.19,0.99364,6.5,98.0,1679,3.16,6.6,0.34,175.0,white,0.27,6
9,11.4,0.08,0.45,0.99774,10.4,6.0,1582,3.22,2.0,0.76,13.0,red,0.52,6
10,10.5,0.033,0.34,0.9953,7.0,31.0,4419,3.22,8.5,0.56,253.0,white,0.21,6
11,11.0,0.062,0.02,0.99627,6.6,15.0,2582,3.54,2.4,0.6,23.0,red,0.855,6
12,12.8,0.033,0.74,0.991,7.8,33.0,4229,3.29,1.8,0.52,156.0,white,0.3,6
13,9.5,0.0559999999999999,0.44,0.9952,6.8,31.0,4693,3.14,6.5,0.44,161.0,white,0.35,5
14,11.2,0.031,0.1,0.9906,5.6,20.0,5086,3.36,1.3,0.51,68.0,white,0.34,7
15,9.8,0.271,0.2,0.99356,7.1,24.0,444,3.11,1.6,0.63,140.0,white,0.36,5
16,11.0,0.0409999999999999,0.49,0.9927,6.9,15.0,1020,3.25,1.4,0.63,164.0,white,0.21,5
17,9.4,0.051,0.22,0.99676,6.6,35.0,5123,3.1,12.3,0.67,146.0,white,0.24,5
18,11.0,0.026,0.36,0.9912,6.7,63.0,737,3.27,1.1,0.48,143.0,white,0.19,6
19,9.9,0.043,0.26,0.9936,5.7,28.0,4517,3.06,6.3,0.58,113.0,white,0.16,6
20,9.0,0.055,0.28,0.9986,7.2,55.0,5033,3.12,14.4,0.38,205.0,white,0.25,7
21,9.0,0.055,0.31,1.0002,7.3,32.0,815,3.13,17.3,0.46,197.0,white,0.18,6
22,12.8,0.0289999999999999,0.33,0.9902,7.2,29.0,2831,3.15,1.4,0.51,109.0,white,0.32,7
23,9.5,0.085,0.16,0.9968,7.5,12.0,4305,3.38,1.9,0.62,35.0,red,0.52,7
24,8.8,0.057,0.27,0.99807,7.3,45.0,1665,2.94,13.9,0.41,155.0,white,0.19,8
25,11.5,0.04,0.34,0.9912,6.5,43.0,4215,3.32,1.6,0.59,148.0,white,0.18,8
26,8.9,0.035,0.49,0.99732,6.6,57.0,4578,3.08,11.4,0.54,137.0,white,0.285,6
27,9.3,0.138,0.31,0.9951,6.6,41.0,3438,3.2,4.8,0.38,168.0,white,0.26,5
28,10.0,0.052,0.26,0.99388,6.6,45.0,1605,3.16,7.4,0.37,128.0,white,0.17,6
29,9.5,0.049,0.19,0.99514,6.3,47.0,3125,3.22,7.7,0.48,184.0,white,0.3,5
30,10.7,0.039,0.22,0.99535,6.4,51.0,2966,3.23,12.8,0.43,150.0,white,0.28,6
31,9.6,0.038,0.3,0.9948,6.4,15.0,5121,3.14,5.5,0.49,129.0,white,0.25,6
32,9.5,0.095,0.54,1.0001,11.1,21.0,531,3.13,2.7,0.51,101.0,red,0.39,5
33,8.9,0.05,0.36,0.9986,7.3,35.0,3112,3.04,13.1,0.46,200.0,white,0.25,7
34,10.0,0.047,0.4,0.99232,5.9,23.0,1302,3.2,1.3,0.45,92.0,white,0.2,6
35,9.5,0.057,0.24,0.9942,6.9,13.0,2547,2.99,3.6,0.48,85.0,white,0.25,4
36,11.2,0.032,0.37,0.99185,6.0,63.0,243,3.32,1.2,0.44,148.0,white,0.14,5
37,9.4,0.123,0.23,0.9954,7.0,27.0,5015,3.04,5.7,0.54,104.0,white,0.19,6
38,8.8,0.047,0.24,0.99837,5.7,44.0,5390,2.97,13.8,0.66,112.0,white,0.2,6
39,10.4,0.038,0.4,0.99568,7.2,45.0,2311,3.2,8.7,0.47,154.0,white,0.32,6
40,11.7,0.036,0.2,0.99088,7.8,25.0,4676,3.03,1.4,0.46,83.0,white,0.2,6
41,13.3,0.025,0.3,0.98802,6.0,18.0,4453,3.07,1.3,0.64,112.0,white,0.32,7
42,9.4,0.053,0.49,0.9954,7.0,22.0,1223,3.36,5.9,0.36,118.0,white,0.14,6
43,9.3,0.053,0.61,0.99708,6.5,31.0,4963,3.09,13.0,0.5,123.0,white,0.31,6
44,9.2,0.053,0.26,0.9965,6.9,32.0,5016,3.25,8.3,0.51,180.0,white,0.32,6
45,10.5666666666667,0.048,0.25,0.99212,6.5,39.0,2797,3.28,1.7,0.57,177.0,white,0.51,5
46,12.7,0.07,0.42,0.99426,8.3,9.0,1675,3.38,2.3,0.77,20.0,red,0.33,7
47,11.4,0.065,0.32,0.99134,7.4,23.0,2562,3.06,1.4,0.47,140.0,white,0.16,6
48,12.6,0.044,0.47,0.991,7.2,19.0,4674,3.03,5.1,0.41,65.0,white,0.32,4
49,10.0,0.036,0.34,0.9937,6.5,34.0,4914,3.14,3.4,0.76,200.0,white,0.38,5
50,9.7,0.061,0.05,0.99705,7.3,20.0,3234,3.31,2.1,0.55,49.0,red,0.98,3
51,11.0,0.015,0.32,0.99278,7.8,47.0,2195,2.99,7.4,0.39,124.0,white,0.19,6
52,9.6,0.0559999999999999,0.32,0.9998,7.1,49.0,132,3.37,16.9,0.38,158.0,white,0.22,6
53,11.4,0.037,0.24,0.99076,5.9,32.0,2515,3.21,1.6,0.51,115.0,white,0.23,6
54,10.2,0.036,0.22,0.9926,7.6,19.0,592,3.03,2.8,0.29,113.0,white,0.39,5
55,8.8,0.09,0.26,0.9944,7.3,7.0,385,3.01,3.3,0.52,135.0,white,0.51,5
56,9.5,0.075,0.22,0.99688,8.0,13.0,4116,3.24,2.3,0.54,81.0,red,0.715,6
57,12.7,0.021,0.32,0.9889,6.7,22.0,413,3.15,1.4,0.53,121.0,white,0.48,7
58,9.4,0.046,0.41,0.99558,6.6,59.0,5486,3.14,7.0,0.48,194.0,white,0.28,5
59,10.3,0.243,0.18,0.99612,6.9,5.5,867,3.4,2.4,0.6,48.0,red,0.765,6
60,9.2,0.057,0.44,0.99804,6.2,39.0,4904,3.14,15.8,0.51,167.0,white,0.25,5
61,9.0,0.037,0.3,0.9967,7.9,37.0,2232,3.47,4.8,0.44,171.0,white,0.16,4
62,11.2,0.03,0.27,0.99212,8.1,43.0,955,3.16,4.3,0.33,123.0,white,0.26,6
63,9.7,0.091,0.41,0.998,9.3,6.0,4097,3.28,2.0,0.7,16.0,red,0.27,5
64,11.0,0.104,0.44,0.99732,7.8,8.0,2711,3.33,2.7,0.78,17.0,red,0.32,7
65,10.5,0.033,0.34,0.9953,7.0,31.0,454,3.22,8.5,0.56,253.0,white,0.21,6
66,11.7,0.0279999999999999,0.27,0.99314,6.8,22.0,3923,2.96,11.6,0.38,97.0,white,0.3,6
67,9.6,0.387,0.66,0.9982,9.5,12.0,157,3.17,2.3,0.67,37.0,red,0.55,5
68,10.0,0.081,0.1,0.9983,8.3,45.0,3741,3.48,2.6,0.53,87.0,red,0.78,5
69,12.2,0.036,0.3,0.99122,6.7,27.0,892,3.12,5.3,0.46,165.0,white,0.45,6
70,9.8,0.069,0.26,0.9954,7.0,28.0,4456,3.13,7.4,0.46,160.0,white,0.31,6
71,12.1,0.077,0.25,0.9974,7.9,21.0,938,3.49,2.9,0.96,45.0,red,0.51,6
72,11.9,0.054,0.35,0.99458,7.9,7.0,1355,3.32,1.7,0.8,15.0,red,0.2,7
73,8.8,0.205,0.5,1.00242,9.9,48.0,2023,3.16,13.8,0.75,82.0,red,0.5,5
74,9.75,0.069,0.47,0.99391,5.7,35.0,5351,3.11,6.3,0.46,182.0,white,0.24,5
75,10.2,0.043,0.34,0.9927,8.3,20.0,1277,3.0,1.1,0.47,116.0,white,0.22,6
76,8.7,0.05,0.27,0.9984,7.4,25.0,1103,2.9,15.5,0.43,135.0,white,0.16,7
77,9.4,0.043,0.33,0.9968,6.9,28.0,2739,3.2,10.1,0.52,152.0,white,0.41,5
78,9.4,0.0409999999999999,0.24,0.99445,5.4,30.0,5027,3.42,4.8,0.4,113.0,white,0.18,6
